Time   | Hex (128-bit VLIW Packet)          | Instructions
--------------------------------------------------------------------------------
0      | 8000000400000000000000000001001F   | RD_0, RD_2
8      | 8000000400000000000000000001001F   | RD_1, RD_7
9      | 8000000400000000000000000001001F   | RD_9
10     | 8000000400000000000000000000039F   | ADD_1
11     | 8000000400000000000000000001001F   | RD_6, RD_8
12     | 8000000400000000000000000001001F   | RD_4, RD_5
16     | 8000000400000000000000000001001F   | RD_3
23     | 8000000400000000000000000000039F   | ADD_2
35     | 8000000400000000000000000000039F   | ADD_3
47     | 8000000400000000000000000000039F   | ADD_4
56     | 8000000400000000000000000000039F   | ADD_5
69     | 8000000400000000000000000000039F   | ADD_6
74     | 8000000400000000000000000000039F   | ADD_7
82     | 8000000400000000000000000000039F   | ADD_8
88     | 8000000400000000000000000000039F   | ADD_9
95     | 8000000400000000000000010000001F   | WR_RES
